model,fold,train_accuracy,train_roc_auc,train_recall_used,train_precision_used,val_accuracy,val_roc_auc,val_recall_used,val_precision_used
RandomForest,1,0.8740694444444445,0.9527947778900631,0.8954050241603889,0.8423876214140501,0.8566111111111111,0.9346155585642411,0.8763356945611718,0.8247457627118644
RandomForest,2,0.8747777777777778,0.9526267988055629,0.9001170503316426,0.840578491549651,0.8618333333333333,0.9365911014085095,0.8847400648337135,0.8283498201438849
RandomForest,3,0.8767638888888889,0.9540922219598711,0.896482381895672,0.8463151333125549,0.8558888888888889,0.9353485675552538,0.8719087635054021,0.8262798634812286
RandomForest,4,0.8734444444444445,0.9527799807455403,0.8901194549492767,0.8447362424518629,0.8627222222222222,0.9401033629584201,0.8755102040816326,0.8356823650739086
RandomForest,5,0.8730277777777777,0.9518209499372658,0.8995738039498169,0.8379557146052338,0.8591666666666666,0.9377500865909962,0.8854741896758703,0.8234900078151167
RandomForest,mean,0.8744166666666666,0.9528229458676606,0.8963395430573595,0.8423946406666705,0.8592444444444445,0.936881735415484,0.878793783331558,0.8277095638452007
CatBoost,1,0.8750555555555556,0.9513098571684188,0.8897325850115549,0.8477993536763234,0.8560555555555556,0.936778246599099,0.8717733221275064,0.8266165755919854
CatBoost,2,0.8758888888888889,0.9516837941046274,0.8929439659053393,0.8471284986190598,0.8650555555555556,0.9397921289870028,0.8823388161844159,0.8353034780631962
CatBoost,3,0.8774722222222222,0.953012841855757,0.8906897172699442,0.851388570117053,0.8575,0.9385517764499802,0.8674669867947179,0.8318176585702775
CatBoost,4,0.8732638888888888,0.9509524881678239,0.8840866798727415,0.8484115325902244,0.8638888888888889,0.9420210028168455,0.8713085234093637,0.8404353867531265
CatBoost,5,0.8747916666666666,0.9508897506844152,0.8903295515937332,0.8469379014989293,0.8617777777777778,0.9401711956757883,0.8781512605042017,0.8323850705507511
CatBoost,mean,0.8752944444444444,0.9515697463962084,0.8895564999306627,0.8483331713003179,0.8608555555555555,0.9394628701057431,0.874207781804041,0.8333116339058673
LightGBM,1,0.8680833333333333,0.9453275319183246,0.8815090488910231,0.8410698433607285,0.8563888888888889,0.9369520025503739,0.8698523232080682,0.8283786873999542
LightGBM,2,0.8681805555555555,0.9453834151554794,0.8822593715297578,0.840750486214392,0.8638333333333333,0.9399652952406722,0.8764557569936366,0.8369639990827792
LightGBM,3,0.8704722222222222,0.9467749961011226,0.881595533945615,0.8451689014214191,0.8562222222222222,0.9387540703975488,0.865906362545018,0.8306080147397513
LightGBM,4,0.8679166666666667,0.9456969862566128,0.8785641395041719,0.8426992169507139,0.8641111111111112,0.9416673018742141,0.8686674669867948,0.8425710293432697
LightGBM,5,0.8670138888888889,0.9443514025758504,0.8813254096884567,0.8393311419179649,0.8618888888888889,0.9402191466038329,0.8765906362545018,0.8335616438356165
LightGBM,mean,0.8683333333333334,0.945506866401478,0.8810507007118049,0.8418039179730437,0.8604888888888889,0.9395115633333285,0.871494509197604,0.8344166748802742
XGBoost,1,0.9007916666666667,0.9698054326127487,0.9177346258891323,0.8741566609491138,0.8635555555555555,0.9405036208736516,0.8800576299675832,0.8341868669625583
XGBoost,2,0.9013888888888889,0.9695334690253512,0.9198355292775894,0.8737349260198991,0.8693888888888889,0.9433382538115354,0.8834193780765999,0.842069123369192
XGBoost,3,0.9019027777777778,0.9702053506114288,0.9177021429857735,0.8761784680631572,0.8628333333333333,0.9423932634067071,0.8729891956782713,0.8374985604053898
XGBoost,4,0.8995138888888888,0.9695010620039554,0.912899933969626,0.8753057641946531,0.8691666666666666,0.9449913781438118,0.8747899159663866,0.8474241190836144
XGBoost,5,0.8975138888888889,0.9679671712117712,0.9144606518998739,0.8705889076206532,0.8662222222222222,0.9436275358126704,0.8823529411764706,0.8373205741626795
XGBoost,mean,0.9002222222222223,0.969402497093051,0.9165265768043991,0.8739929453694953,0.8662333333333333,0.9429708104096752,0.8787218121730623,0.8396998487966867
