threshold,accuracy,recall_used,precision_used
0.39000000000000007,0.8655222222222222,0.9241260084517864,0.8114524256288081
0.4000000000000001,0.8661777777777778,0.9203323088743757,0.814561373682421
0.4100000000000001,0.8670555555555556,0.9170668459469843,0.817771116582807
0.42000000000000004,0.8676888888888888,0.9133691893968497,0.8208890807078119
0.43000000000000005,0.8686333333333334,0.9098155973876296,0.8244739876846755
0.44000000000000006,0.8691444444444445,0.9059978870533999,0.8275688123697774
0.45000000000000007,0.8695,0.9023002305032655,0.8303833830515965
0.4600000000000001,0.8699666666666667,0.8984825201690357,0.8335003897984186
0.4700000000000001,0.8704222222222222,0.8942566269688821,0.8369062064626309
0.4800000000000001,0.8707333333333334,0.8901507875528236,0.8400480377050666
0.49000000000000005,0.8705666666666667,0.885516711486746,0.8427595347455497
0.5000000000000001,0.8702444444444445,0.880690549366116,0.8453719922559233
0.5100000000000001,0.8704888888888889,0.8762485593545909,0.8487766303842218
0.5200000000000001,0.8700777777777777,0.8712543219362274,0.85144425933313
0.5300000000000001,0.8694666666666667,0.865827890895121,0.8540975840833728
0.5400000000000001,0.8691333333333333,0.8610977718017672,0.8568186162079511
0.5500000000000002,0.8690111111111111,0.856223588167499,0.8600853814428017
0.5600000000000002,0.8685666666666667,0.85137341529005,0.8627880380563058
0.5700000000000002,0.8679333333333333,0.8457308874375721,0.8657703274014354
0.5800000000000002,0.8674333333333333,0.8400163273146369,0.8691277668745186
0.5900000000000002,0.8662888888888889,0.8338695735689589,0.8716243349061339
0.6000000000000002,0.8652111111111112,0.8280109489051095,0.8740780168808455
